■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,983,321円 (+298.33%)

2017年: +790,199円 (+79.02%)
2018年: +2,069,682円 (+206.97%)
2019年: +123,439円 (+12.34%)

2017年04月: +97,313円 (+9.73%)
2017年05月: +60,483円 (+6.05%)
2017年06月: +79,090円 (+7.91%)
2017年07月: +62,272円 (+6.23%)
2017年08月: +68,651円 (+6.87%)
2017年09月: +74,717円 (+7.47%)
2017年10月: +85,284円 (+8.53%)
2017年11月: +134,431円 (+13.44%)
2017年12月: +127,955円 (+12.8%)
2018年01月: +176,215円 (+17.62%)
2018年02月: +300,738円 (+30.07%)
2018年03月: +231,905円 (+23.19%)
2018年04月: +105,777円 (+10.58%)
2018年05月: +87,773円 (+8.78%)
2018年06月: +112,165円 (+11.22%)
2018年07月: +172,916円 (+17.29%)
2018年08月: +140,371円 (+14.04%)
2018年09月: +25,460円 (+2.55%)
2018年10月: +222,483円 (+22.25%)
2018年11月: +88,331円 (+8.83%)
2018年12月: +405,541円 (+40.55%)
2019年01月: +13,479円 (+1.35%)
2019年02月: +56,197円 (+5.62%)
2019年03月: +77,136円 (+7.71%)
2019年04月: +10,973円 (+1.1%)
2019年05月: -45,022円 (-4.5%)
2019年06月: +13,219円 (+1.32%)
2019年07月: -2,545円 (-0.25%)

最大:  2018年12月 +405,541円 (+40.55%)
最小:  2019年05月 -45,022円 (-4.5%)

月平均:  +106,547円 (+10.65%) (28ヶ月)
日平均:  +5,375円 (+0.54%) (555営業日)

