■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,864,330円 (+286.43%)

2017年: +805,165円 (+80.52%)
2018年: +1,965,578円 (+196.56%)
2019年: +93,586円 (+9.36%)

2017年04月: +84,917円 (+8.49%)
2017年05月: +61,791円 (+6.18%)
2017年06月: +69,287円 (+6.93%)
2017年07月: +76,262円 (+7.63%)
2017年08月: +75,222円 (+7.52%)
2017年09月: +59,505円 (+5.95%)
2017年10月: +72,038円 (+7.2%)
2017年11月: +161,872円 (+16.19%)
2017年12月: +144,267円 (+14.43%)
2018年01月: +189,705円 (+18.97%)
2018年02月: +311,224円 (+31.12%)
2018年03月: +193,615円 (+19.36%)
2018年04月: +91,148円 (+9.11%)
2018年05月: +91,773円 (+9.18%)
2018年06月: +113,000円 (+11.3%)
2018年07月: +172,341円 (+17.23%)
2018年08月: +127,983円 (+12.8%)
2018年09月: +48,515円 (+4.85%)
2018年10月: +239,713円 (+23.97%)
2018年11月: +70,465円 (+7.05%)
2018年12月: +316,093円 (+31.61%)
2019年01月: +9,932円 (+0.99%)
2019年02月: +11,610円 (+1.16%)
2019年03月: +76,904円 (+7.69%)
2019年04月: +4,117円 (+0.41%)
2019年05月: -20,071円 (-2.01%)
2019年06月: +32,290円 (+3.23%)
2019年07月: -21,196円 (-2.12%)

最大:  2018年12月 +316,093円 (+31.61%)
最小:  2019年07月 -21,196円 (-2.12%)

月平均:  +102,297円 (+10.23%) (28ヶ月)
日平均:  +5,160円 (+0.52%) (555営業日)

