■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,930,194円 (+293.02%)

2017年: +779,102円 (+77.91%)
2018年: +2,049,748円 (+204.97%)
2019年: +101,343円 (+10.13%)

2017年04月: +107,381円 (+10.74%)
2017年05月: +39,788円 (+3.98%)
2017年06月: +93,844円 (+9.38%)
2017年07月: +82,474円 (+8.25%)
2017年08月: +56,271円 (+5.63%)
2017年09月: +66,966円 (+6.7%)
2017年10月: +71,251円 (+7.13%)
2017年11月: +120,913円 (+12.09%)
2017年12月: +140,210円 (+14.02%)
2018年01月: +191,841円 (+19.18%)
2018年02月: +299,376円 (+29.94%)
2018年03月: +232,410円 (+23.24%)
2018年04月: +52,453円 (+5.25%)
2018年05月: +81,052円 (+8.11%)
2018年06月: +110,690円 (+11.07%)
2018年07月: +157,413円 (+15.74%)
2018年08月: +194,192円 (+19.42%)
2018年09月: +99,039円 (+9.9%)
2018年10月: +236,046円 (+23.6%)
2018年11月: +45,018円 (+4.5%)
2018年12月: +350,213円 (+35.02%)
2019年01月: +38,611円 (+3.86%)
2019年02月: +5,039円 (+0.5%)
2019年03月: +68,122円 (+6.81%)
2019年04月: -3,624円 (-0.36%)
2019年05月: -34,477円 (-3.45%)
2019年06月: +30,219円 (+3.02%)
2019年07月: -2,545円 (-0.25%)

最大:  2018年12月 +350,213円 (+35.02%)
最小:  2019年05月 -34,477円 (-3.45%)

月平均:  +104,649円 (+10.46%) (28ヶ月)
日平均:  +5,279円 (+0.53%) (555営業日)

