■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,798,551円 (+279.86%)

2017年: +848,707円 (+84.87%)
2018年: +1,923,328円 (+192.33%)
2019年: +26,515円 (+2.65%)

2017年04月: +95,722円 (+9.57%)
2017年05月: +75,773円 (+7.58%)
2017年06月: +70,034円 (+7.0%)
2017年07月: +77,096円 (+7.71%)
2017年08月: +45,786円 (+4.58%)
2017年09月: +72,233円 (+7.22%)
2017年10月: +107,620円 (+10.76%)
2017年11月: +183,302円 (+18.33%)
2017年12月: +121,138円 (+12.11%)
2018年01月: +198,650円 (+19.87%)
2018年02月: +313,801円 (+31.38%)
2018年03月: +193,615円 (+19.36%)
2018年04月: +84,491円 (+8.45%)
2018年05月: +96,068円 (+9.61%)
2018年06月: +98,586円 (+9.86%)
2018年07月: +149,468円 (+14.95%)
2018年08月: +139,052円 (+13.91%)
2018年09月: +83,989円 (+8.4%)
2018年10月: +213,509円 (+21.35%)
2018年11月: +61,179円 (+6.12%)
2018年12月: +290,917円 (+29.09%)
2019年01月: +3,001円 (+0.3%)
2019年02月: +46,765円 (+4.68%)
2019年03月: +22,840円 (+2.28%)
2019年04月: -23,604円 (-2.36%)
2019年05月: -31,472円 (-3.15%)
2019年06月: +10,560円 (+1.06%)
2019年07月: -1,575円 (-0.16%)

最大:  2018年02月 +313,801円 (+31.38%)
最小:  2019年05月 -31,472円 (-3.15%)

月平均:  +99,948円 (+9.99%) (28ヶ月)
日平均:  +5,042円 (+0.5%) (555営業日)

