■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +3,264,250円 (+326.43%)

2017年: +813,724円 (+81.37%)
2018年: +2,237,733円 (+223.77%)
2019年: +212,792円 (+21.28%)

2017年04月: +84,289円 (+8.43%)
2017年05月: +15,145円 (+1.51%)
2017年06月: +77,039円 (+7.7%)
2017年07月: +81,581円 (+8.16%)
2017年08月: +63,164円 (+6.32%)
2017年09月: +72,007円 (+7.2%)
2017年10月: +95,673円 (+9.57%)
2017年11月: +179,557円 (+17.96%)
2017年12月: +145,266円 (+14.53%)
2018年01月: +194,911円 (+19.49%)
2018年02月: +283,569円 (+28.36%)
2018年03月: +223,455円 (+22.35%)
2018年04月: +93,400円 (+9.34%)
2018年05月: +66,912円 (+6.69%)
2018年06月: +115,534円 (+11.55%)
2018年07月: +175,423円 (+17.54%)
2018年08月: +169,848円 (+16.98%)
2018年09月: +65,069円 (+6.51%)
2018年10月: +418,724円 (+41.87%)
2018年11月: +94,101円 (+9.41%)
2018年12月: +336,783円 (+33.68%)
2019年01月: +21,650円 (+2.17%)
2019年02月: +80,545円 (+8.05%)
2019年03月: +55,545円 (+5.55%)
2019年04月: +5,347円 (+0.53%)
2019年05月: -4,553円 (-0.46%)
2019年06月: +43,708円 (+4.37%)
2019年07月: +10,548円 (+1.05%)

最大:  2018年10月 +418,724円 (+41.87%)
最小:  2019年05月 -4,553円 (-0.46%)

月平均:  +116,580円 (+11.66%) (28ヶ月)
日平均:  +5,881円 (+0.59%) (555営業日)

