■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,816,542円 (+281.65%)

2017年: +783,864円 (+78.39%)
2018年: +1,962,711円 (+196.27%)
2019年: +69,967円 (+7.0%)

2017年04月: +92,818円 (+9.28%)
2017年05月: +68,099円 (+6.81%)
2017年06月: +70,190円 (+7.02%)
2017年07月: +73,339円 (+7.33%)
2017年08月: +52,383円 (+5.24%)
2017年09月: +80,710円 (+8.07%)
2017年10月: +82,674円 (+8.27%)
2017年11月: +143,897円 (+14.39%)
2017年12月: +119,749円 (+11.97%)
2018年01月: +191,783円 (+19.18%)
2018年02月: +288,385円 (+28.84%)
2018年03月: +208,096円 (+20.81%)
2018年04月: +97,739円 (+9.77%)
2018年05月: +101,319円 (+10.13%)
2018年06月: +116,301円 (+11.63%)
2018年07月: +172,939円 (+17.29%)
2018年08月: +206,796円 (+20.68%)
2018年09月: +69,847円 (+6.98%)
2018年10月: +213,509円 (+21.35%)
2018年11月: +100,122円 (+10.01%)
2018年12月: +195,870円 (+19.59%)
2019年01月: +8,471円 (+0.85%)
2019年02月: +49,819円 (+4.98%)
2019年03月: +26,015円 (+2.6%)
2019年04月: +20,847円 (+2.08%)
2019年05月: -55,588円 (-5.56%)
2019年06月: +18,568円 (+1.86%)
2019年07月: +1,832円 (+0.18%)

最大:  2018年02月 +288,385円 (+28.84%)
最小:  2019年05月 -55,588円 (-5.56%)

月平均:  +100,590円 (+10.06%) (28ヶ月)
日平均:  +5,074円 (+0.51%) (555営業日)

