■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,831,228円 (+283.12%)

2017年: +748,813円 (+74.88%)
2018年: +1,984,827円 (+198.48%)
2019年: +97,587円 (+9.76%)

2017年04月: +84,402円 (+8.44%)
2017年05月: +35,847円 (+3.58%)
2017年06月: +52,638円 (+5.26%)
2017年07月: +64,016円 (+6.4%)
2017年08月: +54,549円 (+5.45%)
2017年09月: +61,045円 (+6.1%)
2017年10月: +107,739円 (+10.77%)
2017年11月: +175,188円 (+17.52%)
2017年12月: +113,385円 (+11.34%)
2018年01月: +173,477円 (+17.35%)
2018年02月: +272,451円 (+27.25%)
2018年03月: +239,741円 (+23.97%)
2018年04月: +95,938円 (+9.59%)
2018年05月: +112,210円 (+11.22%)
2018年06月: +106,438円 (+10.64%)
2018年07月: +214,236円 (+21.42%)
2018年08月: +160,760円 (+16.08%)
2018年09月: +77,762円 (+7.78%)
2018年10月: +258,279円 (+25.83%)
2018年11月: +69,112円 (+6.91%)
2018年12月: +204,418円 (+20.44%)
2019年01月: +34,336円 (+3.43%)
2019年02月: +15,836円 (+1.58%)
2019年03月: +74,480円 (+7.45%)
2019年04月: -29,184円 (-2.92%)
2019年05月: -43,151円 (-4.32%)
2019年06月: +45,321円 (+4.53%)
2019年07月: -52円 (-0.01%)

最大:  2018年02月 +272,451円 (+27.25%)
最小:  2019年05月 -43,151円 (-4.32%)

月平均:  +101,115円 (+10.11%) (28ヶ月)
日平均:  +5,101円 (+0.51%) (555営業日)

