■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,796,851円 (+279.69%)

2017年: +736,389円 (+73.64%)
2018年: +2,030,127円 (+203.01%)
2019年: +30,334円 (+3.03%)

2017年04月: +75,101円 (+7.51%)
2017年05月: +28,623円 (+2.86%)
2017年06月: +79,177円 (+7.92%)
2017年07月: +52,251円 (+5.23%)
2017年08月: +59,577円 (+5.96%)
2017年09月: +76,456円 (+7.65%)
2017年10月: +77,234円 (+7.72%)
2017年11月: +169,388円 (+16.94%)
2017年12月: +118,579円 (+11.86%)
2018年01月: +175,670円 (+17.57%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +249,613円 (+24.96%)
2018年04月: +101,152円 (+10.12%)
2018年05月: +96,184円 (+9.62%)
2018年06月: +86,635円 (+8.66%)
2018年07月: +188,167円 (+18.82%)
2018年08月: +166,977円 (+16.7%)
2018年09月: +57,389円 (+5.74%)
2018年10月: +324,891円 (+32.49%)
2018年11月: +46,019円 (+4.6%)
2018年12月: +247,573円 (+24.76%)
2019年01月: +7,117円 (+0.71%)
2019年02月: +6,717円 (+0.67%)
2019年03月: +38,267円 (+3.83%)
2019年04月: +3,765円 (+0.38%)
2019年05月: -44,534円 (-4.45%)
2019年06月: +24,645円 (+2.46%)
2019年07月: -5,645円 (-0.56%)

最大:  2018年10月 +324,891円 (+32.49%)
最小:  2019年05月 -44,534円 (-4.45%)

月平均:  +99,887円 (+9.99%) (28ヶ月)
日平均:  +5,039円 (+0.5%) (555営業日)

