■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-17〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,677,178円 (+267.72%)

2017年: +736,776円 (+73.68%)
2018年: +1,839,739円 (+183.97%)
2019年: +100,663円 (+10.07%)

2017年04月: +21,283円 (+2.13%)
2017年05月: +51,431円 (+5.14%)
2017年06月: +75,664円 (+7.57%)
2017年07月: +86,106円 (+8.61%)
2017年08月: +65,775円 (+6.58%)
2017年09月: +89,071円 (+8.91%)
2017年10月: +76,287円 (+7.63%)
2017年11月: +119,279円 (+11.93%)
2017年12月: +151,875円 (+15.19%)
2018年01月: +171,597円 (+17.16%)
2018年02月: +302,755円 (+30.28%)
2018年03月: +199,707円 (+19.97%)
2018年04月: +88,193円 (+8.82%)
2018年05月: +87,547円 (+8.75%)
2018年06月: +103,522円 (+10.35%)
2018年07月: +191,720円 (+19.17%)
2018年08月: +159,135円 (+15.91%)
2018年09月: +72,050円 (+7.21%)
2018年10月: +284,343円 (+28.43%)
2018年11月: +18,447円 (+1.84%)
2018年12月: +160,717円 (+16.07%)
2019年01月: +12,021円 (+1.2%)
2019年02月: +33,897円 (+3.39%)
2019年03月: +19,195円 (+1.92%)
2019年04月: +4,086円 (+0.41%)
2019年05月: -31,677円 (-3.17%)
2019年06月: +58,950円 (+5.9%)
2019年07月: +4,189円 (+0.42%)

最大:  2018年02月 +302,755円 (+30.28%)
最小:  2019年05月 -31,677円 (-3.17%)

月平均:  +95,613円 (+9.56%) (28ヶ月)
日平均:  +4,912円 (+0.49%) (545営業日)

