■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +3,072,531円 (+307.25%)

2017年: +846,874円 (+84.69%)
2018年: +2,042,010円 (+204.2%)
2019年: +183,647円 (+18.36%)

2017年04月: +86,344円 (+8.63%)
2017年05月: +57,210円 (+5.72%)
2017年06月: +82,768円 (+8.28%)
2017年07月: +58,259円 (+5.83%)
2017年08月: +50,206円 (+5.02%)
2017年09月: +77,518円 (+7.75%)
2017年10月: +88,334円 (+8.83%)
2017年11月: +191,497円 (+19.15%)
2017年12月: +154,734円 (+15.47%)
2018年01月: +165,540円 (+16.55%)
2018年02月: +324,884円 (+32.49%)
2018年03月: +175,714円 (+17.57%)
2018年04月: +88,054円 (+8.81%)
2018年05月: +92,877円 (+9.29%)
2018年06月: +133,376円 (+13.34%)
2018年07月: +166,126円 (+16.61%)
2018年08月: +131,450円 (+13.15%)
2018年09月: +36,754円 (+3.68%)
2018年10月: +358,389円 (+35.84%)
2018年11月: +82,086円 (+8.21%)
2018年12月: +286,754円 (+28.68%)
2019年01月: +9,432円 (+0.94%)
2019年02月: +77,205円 (+7.72%)
2019年03月: +32,596円 (+3.26%)
2019年04月: +23,842円 (+2.38%)
2019年05月: -20,620円 (-2.06%)
2019年06月: +53,564円 (+5.36%)
2019年07月: +7,626円 (+0.76%)

最大:  2018年10月 +358,389円 (+35.84%)
最小:  2019年05月 -20,620円 (-2.06%)

月平均:  +109,733円 (+10.97%) (28ヶ月)
日平均:  +5,536円 (+0.55%) (555営業日)

