■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-02-17〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,701,399円 (+270.14%)

2017年: +897,994円 (+89.8%)
2018年: +1,783,986円 (+178.4%)
2019年: +19,418円 (+1.94%)

2017年02月: +31,537円 (+3.15%)
2017年03月: +138,174円 (+13.82%)
2017年04月: +92,272円 (+9.23%)
2017年05月: +56,152円 (+5.62%)
2017年06月: +78,294円 (+7.83%)
2017年07月: +54,398円 (+5.44%)
2017年08月: +77,125円 (+7.71%)
2017年09月: +63,350円 (+6.34%)
2017年10月: +62,479円 (+6.25%)
2017年11月: +142,080円 (+14.21%)
2017年12月: +102,128円 (+10.21%)
2018年01月: +186,622円 (+18.66%)
2018年02月: +225,370円 (+22.54%)
2018年03月: +187,665円 (+18.77%)
2018年04月: +37,425円 (+3.74%)
2018年05月: +82,306円 (+8.23%)
2018年06月: +99,758円 (+9.98%)
2018年07月: +182,880円 (+18.29%)
2018年08月: +118,021円 (+11.8%)
2018年09月: +65,930円 (+6.59%)
2018年10月: +186,098円 (+18.61%)
2018年11月: +102,238円 (+10.22%)
2018年12月: +309,668円 (+30.97%)
2019年01月: +2,966円 (+0.3%)
2019年02月: +11,521円 (+1.15%)
2019年03月: -5,356円 (-0.54%)
2019年04月: +13,766円 (+1.38%)
2019年05月: -41,290円 (-4.13%)
2019年06月: +34,443円 (+3.44%)
2019年07月: +3,368円 (+0.34%)

最大:  2018年12月 +309,668円 (+30.97%)
最小:  2019年05月 -41,290円 (-4.13%)

月平均:  +90,046円 (+9.0%) (30ヶ月)
日平均:  +4,617円 (+0.46%) (585営業日)

