■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +3,025,142円 (+302.51%)

2017年: +812,315円 (+81.23%)
2018年: +2,105,195円 (+210.52%)
2019年: +107,630円 (+10.76%)

2017年04月: +97,776円 (+9.78%)
2017年05月: +37,105円 (+3.71%)
2017年06月: +77,094円 (+7.71%)
2017年07月: +87,276円 (+8.73%)
2017年08月: +50,997円 (+5.1%)
2017年09月: +81,483円 (+8.15%)
2017年10月: +97,709円 (+9.77%)
2017年11月: +134,801円 (+13.48%)
2017年12月: +148,071円 (+14.81%)
2018年01月: +163,478円 (+16.35%)
2018年02月: +300,738円 (+30.07%)
2018年03月: +226,000円 (+22.6%)
2018年04月: +95,876円 (+9.59%)
2018年05月: +101,931円 (+10.19%)
2018年06月: +109,134円 (+10.91%)
2018年07月: +146,548円 (+14.65%)
2018年08月: +184,780円 (+18.48%)
2018年09月: +104,485円 (+10.45%)
2018年10月: +359,669円 (+35.97%)
2018年11月: +30,308円 (+3.03%)
2018年12月: +282,242円 (+28.22%)
2019年01月: +22,040円 (+2.2%)
2019年02月: +40,785円 (+4.08%)
2019年03月: +61,592円 (+6.16%)
2019年04月: -34,234円 (-3.42%)
2019年05月: -32,384円 (-3.24%)
2019年06月: +65,300円 (+6.53%)
2019年07月: -15,469円 (-1.55%)

最大:  2018年10月 +359,669円 (+35.97%)
最小:  2019年04月 -34,234円 (-3.42%)

月平均:  +108,040円 (+10.8%) (28ヶ月)
日平均:  +5,450円 (+0.55%) (555営業日)

