■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-02-17〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,519,899円 (+251.99%)

2017年: +810,267円 (+81.03%)
2018年: +1,628,238円 (+162.82%)
2019年: +81,392円 (+8.14%)

2017年02月: +11,857円 (+1.19%)
2017年03月: +117,097円 (+11.71%)
2017年04月: +108,425円 (+10.84%)
2017年05月: +41,201円 (+4.12%)
2017年06月: +64,451円 (+6.45%)
2017年07月: +56,757円 (+5.68%)
2017年08月: +51,651円 (+5.17%)
2017年09月: +46,459円 (+4.65%)
2017年10月: +70,235円 (+7.02%)
2017年11月: +110,334円 (+11.03%)
2017年12月: +131,797円 (+13.18%)
2018年01月: +185,766円 (+18.58%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +249,192円 (+24.92%)
2018年04月: +69,154円 (+6.92%)
2018年05月: +82,478円 (+8.25%)
2018年06月: +122,770円 (+12.28%)
2018年07月: +138,917円 (+13.89%)
2018年08月: +92,014円 (+9.2%)
2018年09月: +17,769円 (+1.78%)
2018年10月: +205,008円 (+20.5%)
2018年11月: +5,472円 (+0.55%)
2018年12月: +169,841円 (+16.98%)
2019年01月: +36,701円 (+3.67%)
2019年02月: +29,577円 (+2.96%)
2019年03月: +35,558円 (+3.56%)
2019年04月: +683円 (+0.07%)
2019年05月: -45,788円 (-4.58%)
2019年06月: +17,032円 (+1.7%)
2019年07月: +7,626円 (+0.76%)

最大:  2018年02月 +289,852円 (+28.99%)
最小:  2019年05月 -45,788円 (-4.58%)

月平均:  +83,996円 (+8.4%) (30ヶ月)
日平均:  +4,307円 (+0.43%) (585営業日)

