■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-02-17〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,663,464円 (+266.35%)

2017年: +907,293円 (+90.73%)
2018年: +1,721,673円 (+172.17%)
2019年: +34,498円 (+3.45%)

2017年02月: -868円 (-0.09%)
2017年03月: +108,714円 (+10.87%)
2017年04月: +82,473円 (+8.25%)
2017年05月: +71,587円 (+7.16%)
2017年06月: +64,117円 (+6.41%)
2017年07月: +54,897円 (+5.49%)
2017年08月: +55,234円 (+5.52%)
2017年09月: +82,672円 (+8.27%)
2017年10月: +94,403円 (+9.44%)
2017年11月: +173,740円 (+17.37%)
2017年12月: +120,318円 (+12.03%)
2018年01月: +157,507円 (+15.75%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +219,060円 (+21.91%)
2018年04月: +83,978円 (+8.4%)
2018年05月: +100,654円 (+10.07%)
2018年06月: +101,561円 (+10.16%)
2018年07月: +172,217円 (+17.22%)
2018年08月: +88,219円 (+8.82%)
2018年09月: +64,846円 (+6.48%)
2018年10月: +210,089円 (+21.01%)
2018年11月: +43,048円 (+4.3%)
2018年12月: +190,637円 (+19.06%)
2019年01月: -2,148円 (-0.21%)
2019年02月: +17,246円 (+1.72%)
2019年03月: +16,859円 (+1.69%)
2019年04月: -23,678円 (-2.37%)
2019年05月: +14,607円 (+1.46%)
2019年06月: +3,985円 (+0.4%)
2019年07月: +7,626円 (+0.76%)

最大:  2018年02月 +289,852円 (+28.99%)
最小:  2019年04月 -23,678円 (-2.37%)

月平均:  +88,782円 (+8.88%) (30ヶ月)
日平均:  +4,552円 (+0.46%) (585営業日)

