■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,883,431円 (+288.34%)

2017年: +857,406円 (+85.74%)
2018年: +1,952,500円 (+195.25%)
2019年: +73,524円 (+7.35%)

2017年04月: +109,761円 (+10.98%)
2017年05月: +70,170円 (+7.02%)
2017年06月: +60,795円 (+6.08%)
2017年07月: +69,542円 (+6.95%)
2017年08月: +67,550円 (+6.76%)
2017年09月: +85,681円 (+8.57%)
2017年10月: +91,913円 (+9.19%)
2017年11月: +161,275円 (+16.13%)
2017年12月: +140,714円 (+14.07%)
2018年01月: +158,087円 (+15.81%)
2018年02月: +313,744円 (+31.37%)
2018年03月: +208,579円 (+20.86%)
2018年04月: +78,802円 (+7.88%)
2018年05月: +100,977円 (+10.1%)
2018年06月: +117,637円 (+11.76%)
2018年07月: +145,952円 (+14.6%)
2018年08月: +160,862円 (+16.09%)
2018年09月: +87,881円 (+8.79%)
2018年10月: +255,786円 (+25.58%)
2018年11月: +25,650円 (+2.57%)
2018年12月: +298,538円 (+29.85%)
2019年01月: +24,802円 (+2.48%)
2019年02月: +3,734円 (+0.37%)
2019年03月: +65,546円 (+6.55%)
2019年04月: -16,395円 (-1.64%)
2019年05月: +12,533円 (+1.25%)
2019年06月: -20,064円 (-2.01%)
2019年07月: +3,368円 (+0.34%)

最大:  2018年02月 +313,744円 (+31.37%)
最小:  2019年06月 -20,064円 (-2.01%)

月平均:  +102,979円 (+10.3%) (28ヶ月)
日平均:  +5,195円 (+0.52%) (555営業日)

