■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-02-17〜2019-07-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,716,763円 (+271.68%)

2017年: +829,133円 (+82.91%)
2018年: +1,790,339円 (+179.03%)
2019年: +97,290円 (+9.73%)

2017年02月: +23,968円 (+2.4%)
2017年03月: +140,400円 (+14.04%)
2017年04月: +91,652円 (+9.17%)
2017年05月: +74,300円 (+7.43%)
2017年06月: +45,186円 (+4.52%)
2017年07月: +26,722円 (+2.67%)
2017年08月: +71,213円 (+7.12%)
2017年09月: +67,617円 (+6.76%)
2017年10月: +62,264円 (+6.23%)
2017年11月: +85,596円 (+8.56%)
2017年12月: +140,210円 (+14.02%)
2018年01月: +186,822円 (+18.68%)
2018年02月: +313,801円 (+31.38%)
2018年03月: +173,122円 (+17.31%)
2018年04月: +96,322円 (+9.63%)
2018年05月: +49,957円 (+5.0%)
2018年06月: +40,194円 (+4.02%)
2018年07月: +160,136円 (+16.01%)
2018年08月: +169,180円 (+16.92%)
2018年09月: +6,641円 (+0.66%)
2018年10月: +255,786円 (+25.58%)
2018年11月: +1,589円 (+0.16%)
2018年12月: +336,783円 (+33.68%)
2019年01月: +29,008円 (+2.9%)
2019年02月: +34,421円 (+3.44%)
2019年03月: +65,805円 (+6.58%)
2019年04月: -32,546円 (-3.25%)
2019年05月: -31,083円 (-3.11%)
2019年06月: +42,667円 (+4.27%)
2019年07月: -10,982円 (-1.1%)

最大:  2018年12月 +336,783円 (+33.68%)
最小:  2019年04月 -32,546円 (-3.25%)

月平均:  +90,558円 (+9.06%) (30ヶ月)
日平均:  +4,644円 (+0.46%) (585営業日)

